classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
420677754,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:44:42 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:44:04.609Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:44:42.466Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":561,""naturalWidth"":640,""naturalHeight"":561}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Draw shapes""},{""task"":""T2"",""task_label"":""Draw some points"",""value"":[{""x"":426.25,""y"":150.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""},{""x"":549.25,""y"":157.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""},{""x"":469.25,""y"":218.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""}]},{""task"":""T3"",""task_label"":""Draw some circles"",""value"":[{""r"":52.61178575186362,""x"":419.25,""y"":57.96665954589844,""tool"":0,""angle"":-8.746162262555211,""frame"":0,""details"":[],""tool_label"":""Make a circle""},{""r"":37.94733192202055,""x"":599.25,""y"":61.96665954589844,""tool"":0,""angle"":-161.565051177078,""frame"":0,""details"":[],""tool_label"":""Make a circle""}]},{""task"":""T4"",""task_label"":""Draw some boxes"",""value"":[{""x"":283.25,""y"":378.9666748046875,""tool"":0,""frame"":0,""width"":121,""height"":143,""details"":[],""tool_label"":""Tool name""},{""x"":68.25,""y"":388.9666748046875,""tool"":0,""frame"":0,""width"":136,""height"":107,""details"":[],""tool_label"":""Tool name""}]}]","{""458025"":{""retired"":null,""link"":""https://www.flickr.com/photos/bevgoodwin/8556948660"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""8556948660_807cb1f8db_z.jpg"",""subject_id"":5,""attribution"":""Beverley Goodwin""}}",458025
420677800,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:45:00 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:44:42.483Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:45:00.253Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":435,""naturalWidth"":640,""naturalHeight"":435}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Draw shapes""},{""task"":""T2"",""task_label"":""Draw some points"",""value"":[{""x"":185.25,""y"":153.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""},{""x"":283.25,""y"":159.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""}]},{""task"":""T3"",""task_label"":""Draw some circles"",""value"":[{""r"":41.773197148410844,""x"":148.25,""y"":75.96665954589844,""tool"":0,""angle"":168.95905981967627,""frame"":0,""details"":[],""tool_label"":""Make a circle""},{""r"":40.44749683231337,""x"":345.25,""y"":69.96665954589844,""tool"":0,""angle"":171.46923439005187,""frame"":0,""details"":[],""tool_label"":""Make a circle""}]},{""task"":""T4"",""task_label"":""Draw some boxes"",""value"":[{""x"":323.25,""y"":355.9666748046875,""tool"":0,""frame"":0,""width"":116,""height"":66,""details"":[],""tool_label"":""Tool name""}]}]","{""458022"":{""retired"":null,""link"":""https://www.flickr.com/photos/aigle_dore/8300920648"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""8300920648_d4a21bba59_z.jpg"",""subject_id"":2,""attribution"":""Moyan Brenn""}}",458022
420677830,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:45:12 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:45:00.270Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:45:12.445Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":438,""naturalWidth"":640,""naturalHeight"":438}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Write text""},{""task"":""T1"",""value"":""wild"",""task_label"":""Here is a box, write some text""}]","{""458034"":{""retired"":null,""link"":""https://www.flickr.com/photos/sheepies/3269610146"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""3269610146_2f541f4ac7_z.jpg"",""subject_id"":14,""attribution"":""Andreas-photography""}}",458034
420677850,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:45:18 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:45:12.471Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:45:18.579Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":427,""naturalWidth"":640,""naturalHeight"":427}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Write text""},{""task"":""T1"",""value"":""lazy"",""task_label"":""Here is a box, write some text""}]","{""458041"":{""retired"":null,""link"":""https://www.flickr.com/photos/pagedooley/10225182346"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""10225182346_0d446c8a38_z.jpg"",""subject_id"":21,""attribution"":""Kevin Dooley""}}",458041
420677870,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:45:24 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:45:18.597Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:45:24.864Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":425,""naturalWidth"":640,""naturalHeight"":425}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Write text""},{""task"":""T1"",""value"":""sleeping"",""task_label"":""Here is a box, write some text""}]","{""458032"":{""retired"":null,""link"":""https://www.flickr.com/photos/diegeekdie/4695100707"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""4695100707_d2b1c3f778_z.jpg"",""subject_id"":12,""attribution"":""MagneG""}}",458032
420677940,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:45:46 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:45:24.883Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:45:46.334Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":496,""clientHeight"":640,""naturalWidth"":496,""naturalHeight"":640}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Do both!""},{""task"":""T5"",""task_label"":""Transcribe"",""value"":[{""x1"":191.25,""x2"":243.25,""y1"":199.96665954589844,""y2"":164.96665954589844,""tool"":0,""frame"":0,""details"":[{""value"":""Eyes""}],""tool_label"":""Draw a line and write some text""},{""x1"":303.25,""x2"":351.25,""y1"":165.96665954589844,""y2"":161.96665954589844,""tool"":0,""frame"":0,""details"":[{""value"":""paw""}],""tool_label"":""Draw a line and write some text""},{""x1"":156.25,""x2"":198.25,""y1"":227.96665954589844,""y2"":215.96665954589844,""tool"":0,""frame"":0,""details"":[{""value"":""paw""}],""tool_label"":""Draw a line and write some text""}]}]","{""458039"":{""retired"":null,""link"":""https://www.flickr.com/photos/pustovit/15867520885"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""15867520885_a7ff0ac48e_z.jpg"",""subject_id"":19,""attribution"":""Vladimir Pustovit""}}",458039
420678013,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:46:07 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:45:46.350Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:46:07.084Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":474,""clientHeight"":640,""naturalWidth"":474,""naturalHeight"":640}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Do both!""},{""task"":""T5"",""task_label"":""Transcribe"",""value"":[{""x1"":127.25,""x2"":253.25,""y1"":310.9666748046875,""y2"":323.9666748046875,""tool"":0,""frame"":0,""details"":[{""value"":""Eyes""}],""tool_label"":""Draw a line and write some text""},{""x1"":62.25,""x2"":129.25,""y1"":132.96665954589844,""y2"":92.96665954589844,""tool"":0,""frame"":0,""details"":[{""value"":""Ear""}],""tool_label"":""Draw a line and write some text""},{""x1"":277.25,""x2"":329.25,""y1"":147.96665954589844,""y2"":178.96665954589844,""tool"":0,""frame"":0,""details"":[{""value"":""Ear""}],""tool_label"":""Draw a line and write some text""}]}]","{""458031"":{""retired"":null,""link"":""https://www.flickr.com/photos/evpeters/3417958133"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""3417958133_63045d7b16_z.jpg"",""subject_id"":11,""attribution"":""Edward Peters""}}",458031
420678077,cmk24,108,50e5145ef8f29c0f79a7,21790,Many tools,36.23,2022-06-10 09:46:27 UTC,,,"{""source"":""api"",""session"":""8a82079af034c09cc124eef3840b0f9188759c9ba862083d13205cbc05929ea8"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T09:46:07.100Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T09:46:27.383Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":427,""naturalWidth"":640,""naturalHeight"":427}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T09:44:04.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Draw shapes""},{""task"":""T2"",""task_label"":""Draw some points"",""value"":[{""x"":113.25,""y"":208.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""},{""x"":180.25,""y"":209.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""click anywhere to make a point""}]},{""task"":""T3"",""task_label"":""Draw some circles"",""value"":[{""r"":29.410882339705484,""x"":222.25,""y"":140.96665954589844,""tool"":0,""angle"":162.18111108547723,""frame"":0,""details"":[],""tool_label"":""Make a circle""},{""r"":28.861739379323623,""x"":87.25,""y"":122.96665954589844,""tool"":0,""angle"":165.96375653207352,""frame"":0,""details"":[],""tool_label"":""Make a circle""}]},{""task"":""T4"",""task_label"":""Draw some boxes"",""value"":[{""x"":99.25,""y"":254.96665954589844,""tool"":0,""frame"":0,""width"":91,""height"":35.00001525878906,""details"":[],""tool_label"":""Tool name""}]}]","{""458038"":{""retired"":null,""link"":""https://www.flickr.com/photos/kretyen/2740694473"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""2740694473_cfd1f8140a_z.jpg"",""subject_id"":18,""attribution"":""Ken Bosma""}}",458038
420679878,cmk24,108,6698a278bad84a9d406d,21790,Many tools,37.34,2022-06-10 10:04:26 UTC,,,"{""source"":""api"",""session"":""8e5dffa44b2ae1c96a594d91e470dc151725aa12544cc870bc1fe06f00677143"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T10:04:06.594Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T10:04:26.809Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":427,""naturalWidth"":640,""naturalHeight"":427}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T10:04:06.529Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Draw shapes""},{""task"":""T2"",""task_label"":""Locate the eye(s)"",""value"":[{""x"":161.25,""y"":129.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Eye""},{""x"":233.25,""y"":130.96665954589844,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Eye""}]},{""task"":""T3"",""task_label"":""Circle the nose"",""value"":[{""r"":19.6468827043885,""x"":185.25,""y"":183.96665954589844,""tool"":0,""angle"":165.25643716352928,""frame"":0,""details"":[],""tool_label"":""Nose""}]},{""task"":""T4"",""task_label"":""Draw a box around ear(s)"",""value"":[{""x"":236.25,""y"":5.9666595458984375,""tool"":0,""frame"":0,""width"":76,""height"":76,""details"":[],""tool_label"":""Ear""},{""x"":112.25,""y"":3.9666595458984375,""tool"":0,""frame"":0,""width"":70,""height"":73,""details"":[],""tool_label"":""Ear""}]}]","{""458045"":{""retired"":null,""link"":""https://www.flickr.com/photos/davebloggs007/11766275466"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""11766275466_8c779bc32c_z.jpg"",""subject_id"":25,""attribution"":""davebloggs007""}}",458045
420679895,cmk24,108,6698a278bad84a9d406d,21790,Many tools,37.34,2022-06-10 10:04:45 UTC,,,"{""source"":""api"",""session"":""8e5dffa44b2ae1c96a594d91e470dc151725aa12544cc870bc1fe06f00677143"",""viewport"":{""width"":1661,""height"":1157},""started_at"":""2022-06-10T10:04:26.828Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:101.0) Gecko/20100101 Firefox/101.0"",""utc_offset"":""-3600"",""finished_at"":""2022-06-10T10:04:45.489Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":480,""naturalWidth"":640,""naturalHeight"":480}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-06-10T10:04:06.529Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56347""}","[{""task"":""T0"",""task_label"":""This is a question task, pick what you want to do next."",""value"":""Draw shapes""},{""task"":""T2"",""task_label"":""Locate the eye(s)"",""value"":[{""x"":293.25,""y"":265.9666748046875,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Eye""},{""x"":379.25,""y"":258.9666748046875,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Eye""}]},{""task"":""T3"",""task_label"":""Circle the nose"",""value"":[{""r"":23.53720459187964,""x"":321.25,""y"":310.9666748046875,""tool"":0,""angle"":167.7352262721076,""frame"":0,""details"":[],""tool_label"":""Nose""}]},{""task"":""T4"",""task_label"":""Draw a box around ear(s)"",""value"":[{""x"":397.25,""y"":140.96665954589844,""tool"":0,""frame"":0,""width"":103,""height"":60,""details"":[],""tool_label"":""Ear""},{""x"":212.25,""y"":149.96665954589844,""tool"":0,""frame"":0,""width"":81,""height"":83,""details"":[],""tool_label"":""Ear""}]}]","{""458027"":{""retired"":null,""link"":""https://www.flickr.com/photos/nicolee123nd/5205217308"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""5205217308_de72e18894_z.jpg"",""subject_id"":7,""attribution"":""Nicole Doherty""}}",458027
